Task_ID,Task_Type,Weather,Operator_Skill,Machine_Age_yrs,Estimated_Time_min,Actual_Time_min
T0459,Earth Excavation,Cloudy,Beginner,10,65.5,78.0
T0460,Earth Excavation,Cloudy,Intermediate,8,61.3,72.6
T0461,Earth Excavation,Sunny,Intermediate,8,59.8,65.5
T0462,Material Loading,Sunny,Intermediate,10,29.2,43.9
T0463,Grading,Cloudy,Expert,3,35.6,42.7
T0464,Material Loading,Rainy,Intermediate,2,30.8,46.6
T0465,Demolition,Sunny,Expert,4,93.5,88.7
T0466,Trenching,Cloudy,Beginner,1,48.0,57.7
T0467,Trenching,Rainy,Intermediate,3,45.3,51.9
T0468,Demolition,Cloudy,Beginner,9,94.3,102.3
T0469,Earth Excavation,Cloudy,Expert,7,61.2,68.2
T0470,Demolition,Sunny,Expert,7,93.8,95.9
T0471,Earth Excavation,Sunny,Intermediate,1,63.4,64.4
T0472,Demolition,Cloudy,Expert,7,93.8,93.5
T0473,Earth Excavation,Rainy,Intermediate,10,68.5,82.7
T0474,Demolition,Cloudy,Expert,7,96.4,101.8
T0475,Material Loading,Cloudy,Expert,4,36.4,37.6
T0476,Demolition,Cloudy,Expert,7,93.9,97.1
T0477,Earth Excavation,Windy,Intermediate,8,62.4,77.9
T0478,Material Loading,Rainy,Beginner,3,33.4,46.9
T0479,Demolition,Rainy,Intermediate,10,93.9,112.7
T0480,Material Loading,Sunny,Beginner,2,32.8,39.1
T0481,Material Loading,Sunny,Intermediate,7,31.5,37.1
T0482,Grading,Rainy,Intermediate,5,35.0,47.4
T0483,Trenching,Sunny,Intermediate,5,51.1,59.4
T0484,Material Loading,Windy,Beginner,5,29.5,44.5
T0485,Material Loading,Rainy,Intermediate,7,36.6,57.4
T0486,Demolition,Rainy,Intermediate,9,96.3,115.8
T0487,Earth Excavation,Sunny,Expert,8,64.3,64.1
T0488,Trenching,Sunny,Intermediate,6,42.3,47.5
T0489,Demolition,Sunny,Intermediate,7,98.0,107.7
T0490,Demolition,Sunny,Expert,9,91.7,92.9
T0491,Trenching,Sunny,Intermediate,6,50.9,52.6
T0492,Material Loading,Rainy,Intermediate,1,28.4,41.0
T0493,Earth Excavation,Windy,Intermediate,4,59.7,66.6
T0494,Earth Excavation,Windy,Intermediate,8,66.0,77.7
T0495,Material Loading,Cloudy,Expert,7,35.1,32.9
T0496,Trenching,Sunny,Beginner,3,43.1,61.9
T0497,Material Loading,Cloudy,Intermediate,10,39.3,57.4
T0498,Earth Excavation,Windy,Beginner,3,60.9,84.5
T0499,Demolition,Sunny,Intermediate,3,91.7,92.4
T0500,Demolition,Cloudy,Expert,1,89.6,88.4
T0501,Grading,Sunny,Intermediate,10,36.7,42.5
T0502,Material Loading,Cloudy,Beginner,1,32.7,42.8
T0503,Trenching,Windy,Intermediate,6,48.9,65.0
T0504,Grading,Sunny,Beginner,1,33.1,44.7
T0505,Grading,Windy,Beginner,5,40.3,64.5
T0506,Earth Excavation,Rainy,Expert,4,62.2,73.3
T0507,Demolition,Windy,Expert,5,92.7,101.7
T0508,Grading,Rainy,Expert,7,43.8,53.6
T0509,Demolition,Cloudy,Expert,6,88.2,86.0
T0510,Grading,Sunny,Intermediate,9,34.6,44.0
T0511,Material Loading,Sunny,Beginner,6,28.8,42.8
T0512,Trenching,Sunny,Expert,9,50.6,50.4
T0513,Demolition,Windy,Expert,4,90.9,98.1
T0514,Demolition,Cloudy,Expert,1,89.7,89.6
T0515,Earth Excavation,Cloudy,Intermediate,1,57.7,56.8
T0516,Earth Excavation,Windy,Intermediate,10,70.0,80.0
T0517,Trenching,Sunny,Expert,7,54.5,58.9
T0518,Grading,Sunny,Expert,3,39.2,40.7
T0519,Demolition,Sunny,Expert,2,86.5,75.8
T0520,Earth Excavation,Sunny,Intermediate,6,61.5,67.9
T0521,Material Loading,Sunny,Intermediate,6,35.5,46.6
T0522,Trenching,Rainy,Intermediate,7,48.4,56.0
T0523,Demolition,Sunny,Expert,5,95.2,94.2
T0524,Grading,Sunny,Intermediate,8,42.7,46.8
T0525,Grading,Sunny,Beginner,7,44.2,62.0
T0526,Material Loading,Sunny,Expert,2,29.0,26.4
T0527,Trenching,Windy,Beginner,1,45.7,57.1
T0528,Earth Excavation,Cloudy,Expert,9,63.2,62.7
T0529,Earth Excavation,Windy,Intermediate,5,56.5,66.8
T0530,Demolition,Sunny,Expert,5,94.6,96.3
T0531,Grading,Sunny,Intermediate,10,41.7,57.3
T0532,Demolition,Cloudy,Expert,4,90.4,86.3
T0533,Demolition,Sunny,Expert,2,86.2,87.4
T0534,Material Loading,Sunny,Beginner,5,31.3,46.3
T0535,Grading,Sunny,Beginner,2,38.2,48.7
T0536,Demolition,Sunny,Intermediate,7,97.5,101.9
T0537,Grading,Sunny,Intermediate,9,37.4,43.6
T0538,Earth Excavation,Sunny,Expert,9,67.8,66.1
T0539,Trenching,Cloudy,Intermediate,6,49.9,62.1
T0540,Earth Excavation,Sunny,Intermediate,1,61.7,65.7
T0541,Demolition,Sunny,Intermediate,6,89.1,99.9
T0542,Material Loading,Cloudy,Expert,5,28.7,32.1
T0543,Earth Excavation,Sunny,Expert,4,59.5,56.4
T0544,Material Loading,Sunny,Intermediate,6,32.0,38.2
T0545,Material Loading,Cloudy,Intermediate,6,38.4,43.5
T0546,Trenching,Sunny,Beginner,6,46.0,54.6
T0547,Earth Excavation,Sunny,Intermediate,2,63.3,70.7
T0548,Material Loading,Rainy,Intermediate,7,32.1,48.7
T0549,Material Loading,Sunny,Beginner,4,33.4,47.0
T0550,Grading,Rainy,Intermediate,9,39.3,54.2
T0551,Material Loading,Cloudy,Intermediate,10,35.5,48.4
T0552,Demolition,Sunny,Intermediate,2,92.1,91.1
T0553,Material Loading,Rainy,Intermediate,5,31.8,46.0
T0554,Material Loading,Rainy,Beginner,4,33.1,45.4
T0555,Demolition,Sunny,Expert,9,98.2,101.2
T0556,Trenching,Rainy,Expert,4,44.7,52.9
T0557,Earth Excavation,Sunny,Intermediate,8,67.6,78.4
T0558,Earth Excavation,Rainy,Beginner,8,63.2,88.1
T0559,Grading,Sunny,Expert,6,36.9,37.4
T0560,Material Loading,Rainy,Expert,6,35.1,41.5
T0561,Grading,Sunny,Intermediate,8,38.0,54.1
T0562,Earth Excavation,Cloudy,Intermediate,10,66.0,79.5
T0563,Earth Excavation,Sunny,Intermediate,9,65.2,84.0
T0564,Earth Excavation,Sunny,Intermediate,5,56.2,61.2
T0565,Trenching,Rainy,Intermediate,1,46.8,67.9
T0566,Material Loading,Cloudy,Intermediate,1,26.2,28.2
T0567,Trenching,Rainy,Intermediate,2,41.9,63.8
T0568,Trenching,Cloudy,Intermediate,10,51.1,64.9
T0569,Demolition,Cloudy,Intermediate,10,96.6,103.9
T0570,Trenching,Cloudy,Intermediate,5,51.1,58.3
T0571,Material Loading,Sunny,Intermediate,4,28.7,41.8
T0572,Grading,Rainy,Beginner,1,33.3,57.2
T0573,Trenching,Cloudy,Beginner,4,48.4,59.6
T0574,Material Loading,Windy,Expert,4,35.7,36.0
T0575,Demolition,Windy,Beginner,10,95.6,109.9
T0576,Demolition,Sunny,Expert,4,89.4,89.1
T0577,Earth Excavation,Sunny,Expert,1,65.0,70.2
T0578,Demolition,Rainy,Intermediate,9,93.7,104.1
T0579,Material Loading,Cloudy,Intermediate,3,30.8,38.5
T0580,Earth Excavation,Rainy,Intermediate,4,57.7,77.9
T0581,Trenching,Rainy,Expert,5,49.7,68.7
T0582,Demolition,Cloudy,Expert,7,96.1,99.9
T0583,Material Loading,Sunny,Expert,6,30.9,33.9
T0584,Trenching,Cloudy,Beginner,5,52.8,65.5
T0585,Material Loading,Sunny,Intermediate,8,32.2,47.6
T0586,Earth Excavation,Sunny,Intermediate,1,62.4,67.4
T0587,Earth Excavation,Rainy,Intermediate,7,64.2,83.3
T0588,Earth Excavation,Cloudy,Beginner,6,56.9,71.4
T0589,Earth Excavation,Sunny,Intermediate,5,64.1,65.6
T0590,Earth Excavation,Sunny,Expert,7,64.9,63.5
T0591,Earth Excavation,Windy,Intermediate,3,56.2,68.2
T0592,Material Loading,Sunny,Intermediate,1,35.1,41.3
T0593,Earth Excavation,Rainy,Intermediate,9,65.9,83.0
T0594,Trenching,Rainy,Expert,2,49.7,53.4
T0595,Demolition,Rainy,Expert,10,89.9,105.6
T0596,Material Loading,Cloudy,Intermediate,3,30.3,34.4
T0597,Material Loading,Sunny,Beginner,8,37.5,51.3
T0598,Earth Excavation,Rainy,Intermediate,10,60.3,89.1
T0599,Earth Excavation,Sunny,Expert,9,63.4,63.0
T0600,Earth Excavation,Cloudy,Intermediate,3,62.7,72.0
T0601,Earth Excavation,Sunny,Intermediate,6,57.3,56.8
T0602,Earth Excavation,Rainy,Intermediate,7,59.5,73.5
T0603,Earth Excavation,Sunny,Intermediate,1,64.6,72.8
T0604,Earth Excavation,Sunny,Expert,7,63.7,68.7
T0605,Earth Excavation,Sunny,Intermediate,4,65.5,70.3
T0606,Material Loading,Sunny,Beginner,5,33.0,42.4
T0607,Earth Excavation,Cloudy,Beginner,8,71.4,91.0
T0608,Trenching,Sunny,Intermediate,4,48.3,49.0
T0609,Material Loading,Windy,Expert,4,35.8,43.5
T0610,Grading,Windy,Intermediate,8,38.3,52.8
T0611,Earth Excavation,Rainy,Expert,5,63.1,77.1
T0612,Grading,Sunny,Expert,6,39.9,40.5
T0613,Material Loading,Sunny,Intermediate,5,34.9,39.6
T0614,Earth Excavation,Cloudy,Beginner,1,60.4,71.4
T0615,Demolition,Sunny,Beginner,7,93.5,105.7
T0616,Demolition,Sunny,Expert,6,94.5,93.9
T0617,Earth Excavation,Rainy,Intermediate,2,62.5,87.3
T0618,Earth Excavation,Cloudy,Intermediate,7,60.4,70.6
T0619,Grading,Cloudy,Intermediate,6,38.7,44.1
T0620,Grading,Sunny,Expert,5,38.5,31.2
T0621,Earth Excavation,Cloudy,Beginner,8,61.1,75.2
T0622,Earth Excavation,Sunny,Intermediate,5,65.2,70.0
T0623,Trenching,Sunny,Intermediate,2,47.2,60.4
T0624,Material Loading,Cloudy,Intermediate,6,40.0,54.8
T0625,Material Loading,Sunny,Expert,1,30.4,31.4
T0626,Trenching,Sunny,Intermediate,5,50.9,48.6
T0627,Material Loading,Sunny,Expert,6,34.6,37.0
T0628,Grading,Cloudy,Intermediate,7,44.3,55.0
T0629,Earth Excavation,Cloudy,Intermediate,2,58.1,64.2
T0630,Earth Excavation,Rainy,Intermediate,1,59.0,73.5
T0631,Grading,Cloudy,Intermediate,6,35.2,44.6
T0632,Demolition,Sunny,Beginner,3,91.3,105.4
T0633,Material Loading,Rainy,Intermediate,5,29.1,44.7
T0634,Material Loading,Sunny,Intermediate,2,26.4,34.0
T0635,Earth Excavation,Sunny,Intermediate,1,54.1,65.9
T0636,Trenching,Rainy,Intermediate,1,38.9,53.7
T0637,Material Loading,Windy,Expert,4,34.0,44.0
T0638,Earth Excavation,Sunny,Intermediate,10,63.6,67.2
T0639,Earth Excavation,Sunny,Beginner,2,57.3,67.6
T0640,Trenching,Sunny,Intermediate,1,43.5,47.8
T0641,Earth Excavation,Sunny,Expert,6,61.4,61.4
T0642,Trenching,Windy,Expert,4,44.1,49.1
T0643,Earth Excavation,Rainy,Intermediate,10,69.8,92.0
T0644,Trenching,Rainy,Expert,7,52.8,58.8
T0645,Earth Excavation,Cloudy,Intermediate,6,67.8,84.1
T0646,Demolition,Sunny,Intermediate,5,93.0,102.3
T0647,Material Loading,Rainy,Expert,10,35.8,48.5
T0648,Material Loading,Sunny,Expert,2,29.0,27.5
T0649,Grading,Rainy,Intermediate,5,35.0,46.0
T0650,Material Loading,Windy,Expert,9,34.6,42.0
T0651,Earth Excavation,Cloudy,Beginner,9,66.5,83.0
T0652,Material Loading,Sunny,Expert,2,34.6,33.9
T0653,Material Loading,Cloudy,Intermediate,7,31.9,39.7
T0654,Grading,Sunny,Intermediate,10,36.2,36.8
T0655,Trenching,Sunny,Intermediate,4,49.2,57.3
T0656,Earth Excavation,Sunny,Intermediate,3,56.0,67.1
T0657,Trenching,Sunny,Intermediate,1,45.4,47.4
T0658,Trenching,Rainy,Intermediate,3,46.8,66.2
T0659,Material Loading,Rainy,Beginner,9,33.4,58.8
T0660,Material Loading,Windy,Intermediate,9,29.9,38.0
T0661,Trenching,Rainy,Intermediate,7,47.4,56.9
T0662,Demolition,Rainy,Intermediate,3,96.4,107.5
T0663,Material Loading,Sunny,Intermediate,3,33.3,44.3
T0664,Earth Excavation,Sunny,Expert,4,65.5,68.8
T0665,Earth Excavation,Rainy,Expert,7,59.8,71.4
T0666,Earth Excavation,Sunny,Expert,7,64.3,62.0
T0667,Earth Excavation,Cloudy,Intermediate,2,61.3,68.0
T0668,Earth Excavation,Sunny,Expert,5,62.8,63.5
T0669,Earth Excavation,Sunny,Intermediate,7,65.2,72.0
T0670,Trenching,Sunny,Beginner,7,48.9,56.7
T0671,Earth Excavation,Sunny,Intermediate,6,59.4,66.5
T0672,Demolition,Sunny,Expert,10,96.8,101.3
T0673,Earth Excavation,Cloudy,Intermediate,10,67.5,83.3
T0674,Material Loading,Sunny,Beginner,8,38.0,49.8
T0675,Trenching,Rainy,Beginner,3,50.6,76.1
T0676,Demolition,Sunny,Expert,1,91.9,80.1
T0677,Earth Excavation,Sunny,Intermediate,3,58.1,69.3
T0678,Trenching,Sunny,Intermediate,2,41.4,47.7
T0679,Demolition,Cloudy,Intermediate,2,90.3,96.3
T0680,Demolition,Sunny,Intermediate,2,93.8,96.2
T0681,Grading,Cloudy,Intermediate,5,40.1,49.2
T0682,Earth Excavation,Sunny,Intermediate,1,61.3,69.7
T0683,Earth Excavation,Cloudy,Expert,10,64.9,75.1
T0684,Material Loading,Sunny,Intermediate,4,37.7,44.6
T0685,Demolition,Cloudy,Intermediate,10,96.7,106.8
T0686,Material Loading,Rainy,Beginner,5,32.2,46.1
T0687,Material Loading,Windy,Intermediate,2,29.1,41.9
T0688,Earth Excavation,Sunny,Intermediate,5,59.5,54.4
T0689,Grading,Sunny,Intermediate,10,36.7,46.5
T0690,Earth Excavation,Sunny,Beginner,4,59.0,73.6
T0691,Trenching,Cloudy,Expert,8,49.8,55.7
T0692,Trenching,Rainy,Intermediate,1,45.4,54.9
T0693,Material Loading,Cloudy,Intermediate,5,31.5,34.1
T0694,Earth Excavation,Sunny,Expert,10,67.2,72.3
T0695,Earth Excavation,Sunny,Intermediate,1,65.9,72.0
T0696,Material Loading,Sunny,Expert,10,32.5,30.9
T0697,Trenching,Windy,Intermediate,10,48.0,68.1
T0698,Material Loading,Cloudy,Intermediate,4,25.3,33.9
T0699,Earth Excavation,Windy,Expert,8,63.9,71.6
T0700,Material Loading,Sunny,Intermediate,1,30.1,34.6
T0701,Material Loading,Rainy,Intermediate,2,33.7,43.9
T0702,Earth Excavation,Cloudy,Expert,1,60.2,60.5
T0703,Trenching,Sunny,Intermediate,7,46.7,52.4
T0704,Earth Excavation,Cloudy,Intermediate,2,61.6,65.3
T0705,Earth Excavation,Windy,Intermediate,1,62.2,70.1
T0706,Demolition,Windy,Expert,6,88.1,95.5
T0707,Trenching,Cloudy,Expert,6,51.0,49.0
T0708,Grading,Sunny,Intermediate,10,43.9,48.6
T0709,Earth Excavation,Sunny,Intermediate,2,62.6,61.9
T0710,Grading,Windy,Expert,1,32.7,35.1
T0711,Grading,Sunny,Beginner,10,39.0,56.5
T0712,Material Loading,Cloudy,Intermediate,3,35.0,39.5
T0713,Material Loading,Cloudy,Expert,10,32.1,33.8
T0714,Trenching,Rainy,Expert,5,49.4,57.2
T0715,Trenching,Windy,Expert,6,47.8,57.4
T0716,Demolition,Sunny,Intermediate,3,92.0,102.8
T0717,Grading,Sunny,Beginner,9,37.0,52.4
T0718,Demolition,Sunny,Intermediate,5,93.5,96.6
T0719,Earth Excavation,Sunny,Intermediate,2,61.8,64.8
T0720,Grading,Sunny,Intermediate,10,35.5,43.7
T0721,Demolition,Sunny,Expert,6,93.0,89.2
T0722,Earth Excavation,Cloudy,Beginner,8,65.8,86.7
T0723,Earth Excavation,Windy,Expert,6,61.8,64.0
T0724,Grading,Sunny,Intermediate,4,29.7,34.8
T0725,Material Loading,Sunny,Intermediate,6,32.7,35.4
T0726,Grading,Windy,Beginner,8,43.4,59.4
T0727,Earth Excavation,Sunny,Intermediate,8,63.0,68.5
T0728,Grading,Sunny,Beginner,10,44.3,57.9
T0729,Earth Excavation,Sunny,Expert,2,58.6,56.6
T0730,Earth Excavation,Rainy,Expert,8,60.5,71.8
T0731,Earth Excavation,Sunny,Intermediate,6,63.0,73.8
T0732,Grading,Windy,Intermediate,2,33.5,47.3
T0733,Material Loading,Sunny,Expert,1,31.5,30.5
T0734,Material Loading,Rainy,Intermediate,6,31.9,42.7
T0735,Trenching,Sunny,Intermediate,7,52.9,58.7
T0736,Demolition,Rainy,Intermediate,10,93.7,121.1
T0737,Trenching,Cloudy,Expert,5,47.8,53.2
T0738,Grading,Cloudy,Beginner,10,41.8,58.5
T0739,Trenching,Cloudy,Intermediate,8,51.9,56.7
T0740,Trenching,Rainy,Expert,9,53.9,67.5
T0741,Material Loading,Windy,Intermediate,4,31.3,44.0
T0742,Trenching,Cloudy,Beginner,7,47.3,59.9
T0743,Grading,Cloudy,Intermediate,8,33.3,42.3
T0744,Material Loading,Sunny,Expert,6,39.1,41.9
T0745,Earth Excavation,Sunny,Intermediate,2,62.1,66.6
T0746,Demolition,Sunny,Expert,7,95.8,99.1
T0747,Trenching,Cloudy,Intermediate,9,51.2,58.0
T0748,Material Loading,Sunny,Beginner,5,32.6,45.0
T0749,Demolition,Sunny,Expert,2,92.1,91.7
T0750,Material Loading,Windy,Intermediate,4,30.3,42.1
T0751,Earth Excavation,Windy,Intermediate,3,60.6,63.5
T0752,Demolition,Windy,Intermediate,4,89.1,102.0
T0753,Material Loading,Sunny,Intermediate,10,39.7,49.0
T0754,Trenching,Cloudy,Beginner,7,50.2,59.0
T0755,Earth Excavation,Sunny,Beginner,10,70.9,85.2
T0756,Grading,Sunny,Intermediate,8,45.9,55.2
T0757,Material Loading,Sunny,Expert,1,26.3,25.6
T0758,Material Loading,Sunny,Intermediate,8,37.0,46.1
T0759,Demolition,Sunny,Expert,5,88.4,89.5
T0760,Grading,Cloudy,Intermediate,7,39.0,44.1
T0761,Earth Excavation,Sunny,Intermediate,1,61.4,67.0
T0762,Trenching,Cloudy,Intermediate,2,42.1,49.7
T0763,Earth Excavation,Rainy,Intermediate,1,58.3,74.9
T0764,Grading,Sunny,Intermediate,5,38.6,45.8
T0765,Earth Excavation,Rainy,Expert,6,63.5,79.1
T0766,Material Loading,Sunny,Expert,10,31.9,31.5
T0767,Grading,Rainy,Expert,9,37.4,52.2
T0768,Demolition,Sunny,Intermediate,8,89.5,99.6
T0769,Trenching,Sunny,Expert,7,44.9,48.6
T0770,Grading,Sunny,Intermediate,5,36.4,38.3
T0771,Earth Excavation,Rainy,Beginner,3,64.5,90.9
T0772,Grading,Windy,Expert,9,42.8,56.0
T0773,Earth Excavation,Sunny,Intermediate,5,68.0,70.6
T0774,Trenching,Cloudy,Intermediate,3,47.8,55.7
T0775,Grading,Cloudy,Intermediate,3,37.1,44.8
T0776,Earth Excavation,Windy,Intermediate,3,63.0,74.0
T0777,Earth Excavation,Cloudy,Expert,6,64.5,72.7
T0778,Grading,Rainy,Intermediate,1,30.7,47.6
T0779,Grading,Cloudy,Expert,4,42.7,45.1
T0780,Material Loading,Windy,Beginner,8,28.2,50.5
T0781,Grading,Sunny,Intermediate,3,39.9,50.4
T0782,Material Loading,Sunny,Intermediate,5,32.7,37.8
T0783,Earth Excavation,Sunny,Intermediate,2,57.7,61.0
T0784,Trenching,Cloudy,Intermediate,2,47.6,56.9
T0785,Earth Excavation,Cloudy,Expert,7,63.1,72.9
T0786,Demolition,Sunny,Expert,10,93.0,101.5
T0787,Material Loading,Rainy,Expert,3,27.4,36.9
T0788,Trenching,Rainy,Expert,5,43.1,52.2
T0789,Material Loading,Sunny,Expert,3,29.7,28.9
T0790,Demolition,Windy,Intermediate,6,91.8,108.4
T0791,Earth Excavation,Sunny,Expert,10,61.4,64.2
T0792,Material Loading,Sunny,Intermediate,3,31.6,35.1
T0793,Material Loading,Rainy,Intermediate,8,30.8,47.9
T0794,Material Loading,Cloudy,Intermediate,2,32.1,34.6
T0795,Earth Excavation,Sunny,Intermediate,3,65.2,71.6
T0796,Demolition,Cloudy,Intermediate,8,94.9,103.2
T0797,Demolition,Rainy,Expert,8,93.7,102.4
T0798,Material Loading,Sunny,Intermediate,1,28.9,34.1
T0799,Grading,Sunny,Beginner,8,43.3,59.7
T0800,Demolition,Rainy,Intermediate,10,94.4,107.9
T0801,Grading,Sunny,Beginner,2,43.5,55.6
T0802,Earth Excavation,Windy,Beginner,7,60.0,88.5
T0803,Material Loading,Cloudy,Intermediate,6,33.9,35.8
T0804,Material Loading,Windy,Intermediate,2,35.2,45.6
T0805,Trenching,Sunny,Intermediate,5,45.4,48.9
T0806,Grading,Windy,Expert,7,37.8,45.8
T0807,Demolition,Sunny,Expert,8,95.9,100.3
T0808,Demolition,Sunny,Intermediate,3,92.7,97.3
T0809,Trenching,Sunny,Intermediate,1,47.2,52.4
T0810,Earth Excavation,Sunny,Intermediate,7,67.0,71.6
T0811,Demolition,Cloudy,Expert,5,91.5,99.2
T0812,Grading,Rainy,Beginner,5,41.8,60.4
T0813,Earth Excavation,Sunny,Beginner,7,58.3,70.2
T0814,Demolition,Rainy,Expert,1,93.7,96.4
T0815,Demolition,Sunny,Intermediate,8,97.4,97.8
T0816,Material Loading,Rainy,Beginner,10,32.7,67.2
T0817,Material Loading,Sunny,Intermediate,5,28.1,31.6
T0818,Trenching,Cloudy,Expert,8,48.3,52.9
T0819,Earth Excavation,Cloudy,Expert,10,66.2,72.3
T0820,Trenching,Rainy,Expert,10,49.0,57.9
T0821,Grading,Sunny,Intermediate,5,39.0,51.0
T0822,Earth Excavation,Sunny,Intermediate,7,69.3,76.0
T0823,Trenching,Cloudy,Expert,10,45.9,52.7
T0824,Trenching,Sunny,Expert,3,40.6,42.1
T0825,Material Loading,Sunny,Intermediate,2,30.8,30.7
T0826,Demolition,Sunny,Expert,6,91.0,90.8
T0827,Trenching,Rainy,Intermediate,5,46.1,65.5
T0828,Trenching,Rainy,Intermediate,9,53.3,71.5
T0829,Grading,Cloudy,Intermediate,10,39.6,54.1
T0830,Trenching,Sunny,Intermediate,4,46.9,51.7
T0831,Earth Excavation,Sunny,Expert,3,60.2,60.5
T0832,Trenching,Cloudy,Beginner,9,49.4,68.1
T0833,Earth Excavation,Cloudy,Intermediate,8,64.8,74.7
T0834,Earth Excavation,Sunny,Expert,6,71.4,76.9
T0835,Material Loading,Rainy,Expert,1,31.3,43.5
T0836,Trenching,Sunny,Intermediate,10,53.5,67.8
T0837,Demolition,Windy,Intermediate,1,91.1,95.2
T0838,Trenching,Sunny,Intermediate,6,41.9,50.6
T0839,Material Loading,Windy,Intermediate,3,29.8,45.2
T0840,Material Loading,Cloudy,Expert,3,32.3,35.6
T0841,Earth Excavation,Rainy,Expert,6,65.2,74.4
T0842,Material Loading,Sunny,Intermediate,3,32.1,36.1
T0843,Earth Excavation,Rainy,Beginner,10,67.8,90.5
T0844,Demolition,Sunny,Beginner,6,88.6,97.8
T0845,Earth Excavation,Sunny,Expert,5,62.6,60.5
T0846,Trenching,Cloudy,Intermediate,4,51.0,55.7
T0847,Earth Excavation,Windy,Intermediate,8,61.1,85.2
T0848,Demolition,Rainy,Intermediate,2,94.4,114.1
T0849,Material Loading,Cloudy,Intermediate,7,36.7,42.8
T0850,Material Loading,Sunny,Beginner,4,28.3,39.8
T0851,Earth Excavation,Sunny,Intermediate,2,62.0,65.3
T0852,Grading,Sunny,Expert,7,39.0,40.9
T0853,Earth Excavation,Rainy,Expert,1,60.0,69.0
T0854,Demolition,Windy,Expert,4,87.4,86.4
T0855,Earth Excavation,Cloudy,Beginner,9,63.7,81.0
T0856,Earth Excavation,Sunny,Intermediate,4,61.5,63.3
T0857,Earth Excavation,Sunny,Intermediate,3,56.4,58.3
T0858,Material Loading,Rainy,Intermediate,10,31.1,52.9
T0859,Material Loading,Sunny,Expert,10,32.2,41.3
T0860,Earth Excavation,Cloudy,Intermediate,2,57.9,57.6
T0861,Grading,Cloudy,Beginner,3,37.5,50.4
T0862,Trenching,Rainy,Expert,1,48.2,58.5
T0863,Material Loading,Sunny,Expert,10,34.1,37.6
T0864,Trenching,Sunny,Beginner,8,51.3,64.0
T0865,Trenching,Sunny,Intermediate,1,48.4,46.6
T0866,Material Loading,Sunny,Intermediate,3,31.2,30.7
T0867,Earth Excavation,Sunny,Intermediate,3,62.7,72.4
T0868,Earth Excavation,Cloudy,Intermediate,2,60.3,68.5
T0869,Demolition,Cloudy,Intermediate,5,89.1,99.7
T0870,Demolition,Sunny,Expert,10,92.8,95.5
T0871,Trenching,Sunny,Intermediate,3,47.5,58.7
T0872,Earth Excavation,Sunny,Beginner,3,61.1,72.0
T0873,Material Loading,Sunny,Intermediate,8,36.2,46.6
T0874,Trenching,Cloudy,Intermediate,4,41.3,52.4
T0875,Earth Excavation,Sunny,Expert,4,57.1,60.5
T0876,Earth Excavation,Sunny,Intermediate,3,56.9,59.9
T0877,Grading,Sunny,Intermediate,1,36.0,44.2
T0878,Material Loading,Cloudy,Intermediate,8,29.9,35.0
T0879,Earth Excavation,Rainy,Expert,1,61.5,71.1
T0880,Earth Excavation,Sunny,Intermediate,7,65.8,69.2
T0881,Earth Excavation,Rainy,Expert,5,67.0,74.2
T0882,Material Loading,Cloudy,Intermediate,4,36.2,46.7
T0883,Earth Excavation,Windy,Intermediate,4,59.9,73.3
T0884,Earth Excavation,Sunny,Intermediate,8,59.0,60.9
T0885,Grading,Windy,Expert,6,36.1,37.2
T0886,Earth Excavation,Windy,Expert,1,63.4,70.3
T0887,Material Loading,Windy,Intermediate,10,33.8,42.2
T0888,Earth Excavation,Cloudy,Intermediate,8,63.9,71.7
T0889,Earth Excavation,Rainy,Beginner,2,59.3,79.5
T0890,Earth Excavation,Sunny,Intermediate,6,67.7,66.8
T0891,Grading,Cloudy,Intermediate,9,36.5,53.1
T0892,Demolition,Rainy,Expert,1,90.7,99.3
T0893,Grading,Cloudy,Expert,6,41.3,38.7
T0894,Trenching,Sunny,Intermediate,8,54.5,56.2
T0895,Material Loading,Cloudy,Intermediate,10,32.9,42.2
T0896,Earth Excavation,Cloudy,Expert,2,63.9,71.9
T0897,Trenching,Sunny,Expert,5,45.6,50.0
T0898,Demolition,Cloudy,Beginner,6,97.1,117.0
T0899,Earth Excavation,Rainy,Intermediate,5,67.7,84.4
T0900,Earth Excavation,Cloudy,Intermediate,3,58.8,66.3
T0901,Earth Excavation,Sunny,Intermediate,4,64.0,77.5
T0902,Earth Excavation,Sunny,Intermediate,7,66.8,77.8
T0903,Earth Excavation,Windy,Beginner,4,61.1,83.7
T0904,Material Loading,Sunny,Intermediate,9,36.1,48.7
T0905,Trenching,Cloudy,Intermediate,10,51.8,63.0
T0906,Demolition,Rainy,Beginner,2,97.0,111.8
T0907,Grading,Rainy,Intermediate,5,31.6,44.5
T0908,Trenching,Sunny,Expert,8,48.8,52.7
T0909,Earth Excavation,Rainy,Expert,5,58.7,66.0
T0910,Trenching,Sunny,Intermediate,10,50.0,60.7
T0911,Material Loading,Sunny,Intermediate,8,31.7,42.1
T0912,Earth Excavation,Sunny,Expert,8,63.2,67.0
T0913,Material Loading,Sunny,Intermediate,9,31.9,35.3
T0914,Trenching,Windy,Intermediate,10,50.5,60.7
T0915,Material Loading,Windy,Intermediate,6,36.2,49.7
T0916,Trenching,Sunny,Intermediate,4,45.9,58.5
T0917,Trenching,Cloudy,Intermediate,3,50.8,58.7
